seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
402,635631123,0,1002,14,-12,-210,-1120,-70
403,635638444,0,1001,13,-12,-210,-1050,-70
404,635641124,0,1001,13,-12,-210,-1050,-70
405,635646124,0,1001,13,-12,-210,-1050,-70
406,635651123,0,1001,13,-12,-210,-1050,-70
407,635656123,0,1003,13,-12,-210,-980,-70
408,635661125,0,1003,13,-12,-210,-980,-70
409,635666123,0,1003,13,-12,-210,-980,-70
410,635671125,0,1003,13,-12,-210,-980,-70
411,635676124,0,1002,12,-11,-210,-980,-70
412,635681121,0,1002,12,-11,-210,-980,-70
413,635686121,0,1002,12,-11,-210,-980,-70
414,635691120,0,1002,12,-11,-210,-980,-70
415,635696123,0,1002,13,-10,-210,-1050,-70
416,635701121,0,1002,13,-10,-210,-1050,-70
417,635706121,0,1002,13,-10,-210,-1050,-70
418,635711123,0,1002,14,-11,-280,-1050,-70
419,635716124,0,1002,14,-11,-280,-1050,-70
420,635721120,0,1002,14,-11,-280,-1050,-70
421,635726124,0,1002,14,-11,-280,-1050,-70
422,635731121,0,1002,12,-12,-280,-1050,-70
423,635736123,0,1002,12,-12,-280,-1050,-70
424,635741122,0,1002,12,-12,-280,-1050,-70
425,635746121,0,1002,12,-12,-280,-1050,-70
426,635751122,0,1003,14,-12,-280,-1050,-70
427,635756124,0,1003,14,-12,-280,-1050,-70
428,635761123,0,1003,14,-12,-280,-1050,-70
429,635766121,0,1003,14,-12,-280,-1050,-70
430,635771122,0,1002,12,-11,-210,-980,-70
431,635776123,0,1002,12,-11,-210,-980,-70
432,635781122,0,1002,12,-11,-210,-980,-70
433,635786120,0,1001,13,-10,-210,-1050,-70
434,635791122,0,1001,13,-10,-210,-1050,-70
435,635796122,0,1001,13,-10,-210,-1050,-70
436,635801123,0,1001,13,-10,-210,-1050,-70
437,635806122,0,1002,12,-11,-210,-1050,-70
438,635811123,0,1002,12,-11,-210,-1050,-70
439,635816123,0,1002,12,-11,-210,-1050,-70
440,635821123,0,1002,12,-11,-210,-1050,-70
441,635826121,0,1001,13,-11,-280,-1120,0
442,635831123,0,1001,13,-11,-280,-1120,0
443,635836124,0,1001,13,-11,-280,-1120,0
444,635841124,0,1002,12,-12,-280,-1050,0
445,635846122,0,1002,12,-12,-280,-1050,0
446,635851122,0,1002,12,-12,-280,-1050,0
447,635856122,0,1002,12,-12,-280,-1050,0
448,635861122,0,1002,15,-13,-210,-980,-70
449,635866122,0,1002,15,-13,-210,-980,-70
450,635871126,0,1002,15,-13,-210,-980,-70
451,635876121,0,1002,15,-13,-210,-980,-70
452,635881123,0,1002,14,-11,-210,-980,-70
453,635886123,0,1002,14,-11,-210,-980,-70
454,635891122,0,1002,14,-11,-210,-980,-70
455,635896121,0,1001,12,-10,-210,-980,-70
456,635901124,0,1001,12,-10,-210,-980,-70
457,635906125,0,1001,12,-10,-210,-980,-70
458,635911125,0,1001,12,-10,-210,-980,-70
459,635916123,0,1003,13,-9,-210,-980,-70
460,635921121,0,1003,13,-9,-210,-980,-70
461,635926123,0,1003,13,-9,-210,-980,-70
462,635931121,0,1003,13,-9,-210,-980,-70
463,635936123,0,1002,12,-14,-280,-1190,-70
464,635941122,0,1002,12,-14,-280,-1190,-70
465,635946124,0,1002,12,-14,-280,-1190,-70
466,635951123,0,1002,12,-14,-280,-1190,-70
467,635956123,0,999,15,-12,-280,-1050,-70
468,635961122,0,999,15,-12,-280,-1050,-70
469,635966123,0,999,15,-12,-280,-1050,-70
